时间,循环次数,电压(11.76-12.24),电流(70.00-130.00),帧率(28.00-32.00),错误帧(<=0),图像采集,测试结果
17:06:17.599,1,12.06,91.66,30.00,0,True,PASS
17:06:18.597,1,12.06,91.91,30.00,0,True,PASS
17:06:19.604,1,12.06,91.91,30.00,0,True,PASS
17:06:20.612,1,12.06,91.66,30.00,0,True,PASS
17:06:21.619,1,12.06,91.91,30.00,0,True,PASS
17:06:22.616,1,12.06,91.91,30.00,0,True,PASS
17:06:23.602,1,12.06,91.66,30.00,0,True,PASS
17:06:24.617,1,12.06,91.91,30.00,0,True,PASS
17:06:25.611,1,12.06,91.91,30.00,0,True,PASS
17:06:26.604,1,12.06,91.91,30.00,0,True,PASS
17:06:27.602,1,12.06,91.91,30.00,0,True,PASS
17:06:28.619,1,12.06,91.91,30.00,0,True,PASS
17:06:29.617,1,12.06,91.79,30.00,0,True,PASS
17:06:30.605,1,12.06,92.16,30.00,0,True,PASS
17:06:31.600,1,12.06,91.79,30.00,0,True,PASS
17:06:32.619,1,12.06,92.04,30.00,0,True,PASS
17:06:33.611,1,12.06,92.16,30.00,0,True,PASS
17:06:34.610,1,12.06,91.91,30.00,0,True,PASS
17:06:35.619,1,12.06,91.91,30.00,0,True,PASS
17:06:36.605,1,12.06,92.04,30.00,0,True,PASS
17:06:37.606,1,12.06,92.04,30.00,0,True,PASS
17:06:38.611,1,12.06,91.66,30.00,0,True,PASS
17:06:39.617,1,12.06,91.91,30.00,0,True,PASS
17:06:40.619,1,12.06,92.16,30.00,0,True,PASS
17:06:41.617,1,12.06,91.91,30.01,0,True,PASS
17:06:42.602,1,12.06,91.79,30.01,0,True,PASS
17:06:43.618,1,12.06,92.04,30.00,0,True,PASS
17:06:44.606,1,12.06,92.16,30.00,0,True,PASS
17:06:45.620,1,12.06,91.79,30.01,0,True,PASS
17:06:46.613,1,12.06,91.91,30.00,0,True,PASS
17:06:47.603,1,12.06,92.04,30.01,0,True,PASS
17:06:48.619,1,12.06,92.29,30.00,0,True,PASS
17:06:49.619,1,12.06,92.04,30.00,0,True,PASS
17:06:50.613,1,12.06,92.04,30.00,0,True,PASS
17:06:51.610,1,12.06,92.04,30.00,0,True,PASS
17:06:52.595,1,12.06,92.29,30.00,0,True,PASS
17:06:53.609,1,12.06,91.91,30.00,0,True,PASS
17:06:54.605,1,12.06,92.04,30.00,0,True,PASS
17:06:55.608,1,12.06,92.16,30.00,0,True,PASS
17:06:56.613,1,12.06,92.16,30.00,0,True,PASS
17:06:57.619,1,12.06,91.91,30.00,0,True,PASS
17:06:58.602,1,12.06,92.04,30.00,0,True,PASS
17:06:59.602,1,12.06,92.16,30.00,0,True,PASS
17:07:00.613,1,12.06,92.04,30.00,0,True,PASS
17:07:01.613,1,12.06,92.04,30.00,0,True,PASS
17:07:02.605,1,12.06,92.04,30.00,0,True,PASS
17:07:03.612,1,12.06,92.04,30.00,0,True,PASS
17:07:04.609,1,12.06,92.16,30.00,0,True,PASS
17:07:05.612,1,12.06,92.16,30.00,0,True,PASS
17:07:06.614,1,12.06,92.29,30.00,0,True,PASS
17:07:07.615,1,12.06,92.16,30.00,0,True,PASS
17:07:08.608,1,12.06,91.91,30.00,0,True,PASS
17:07:09.600,1,12.06,92.16,30.00,0,True,PASS
17:07:10.602,1,12.06,92.29,30.00,0,True,PASS
17:07:11.611,1,12.06,92.04,30.00,0,True,PASS
17:07:12.618,1,12.06,92.16,30.01,0,True,PASS
17:07:13.606,1,12.06,92.29,30.01,0,True,PASS
17:07:14.606,1,12.06,92.29,30.01,0,True,PASS
17:07:15.595,1,12.06,92.04,30.00,0,True,PASS
17:07:16.600,1,12.06,92.04,30.00,0,True,PASS
17:07:17.604,1,12.06,92.04,30.00,0,True,PASS
17:07:18.615,1,12.06,92.16,30.01,0,True,PASS
17:07:19.597,1,12.06,92.16,30.01,0,True,PASS
17:07:20.616,1,12.06,92.29,30.00,0,True,PASS
17:07:21.610,1,12.06,92.16,30.00,0,True,PASS
17:07:22.595,1,12.06,92.16,30.00,0,True,PASS
17:07:23.600,1,12.06,92.29,30.01,0,True,PASS
17:07:24.607,1,12.06,92.16,30.01,0,True,PASS
17:07:25.618,1,12.06,92.04,30.01,0,True,PASS
17:07:26.610,1,12.06,92.16,30.00,0,True,PASS
17:07:27.597,1,12.06,92.29,30.00,0,True,PASS
17:07:28.596,1,12.06,92.29,30.00,0,True,PASS
17:07:29.607,1,12.06,92.04,30.01,0,True,PASS
17:07:30.606,1,12.06,92.29,30.00,0,True,PASS
17:07:31.602,1,12.06,92.04,30.01,0,True,PASS
17:07:32.602,1,12.06,92.04,30.00,0,True,PASS
17:07:33.619,1,12.06,92.16,30.00,0,True,PASS
17:07:34.611,1,12.06,92.04,30.00,0,True,PASS
17:07:35.614,1,12.06,92.29,30.00,0,True,PASS
17:07:36.603,1,12.06,92.29,30.00,0,True,PASS
17:07:37.597,1,12.06,92.42,30.00,0,True,PASS
17:07:38.604,1,12.06,92.16,30.00,0,True,PASS
17:07:39.601,1,12.06,92.16,30.00,0,True,PASS
17:07:40.611,1,12.06,92.16,30.00,0,True,PASS
17:07:41.617,1,12.06,92.16,30.00,0,True,PASS
17:07:42.604,1,12.06,92.16,30.00,0,True,PASS
17:07:43.602,1,12.06,92.29,30.00,0,True,PASS
17:07:44.615,1,12.06,92.29,30.00,0,True,PASS
17:07:45.602,1,12.06,92.16,30.00,0,True,PASS
17:07:46.609,1,12.06,92.29,30.00,0,True,PASS
17:07:47.604,1,12.06,92.29,30.00,0,True,PASS
17:07:48.597,1,12.06,92.29,30.00,0,True,PASS
17:07:49.619,1,12.06,92.42,30.00,0,True,PASS
17:07:50.619,1,12.06,92.29,30.00,0,True,PASS
17:07:51.617,1,12.06,92.16,30.00,0,True,PASS
17:07:52.600,1,12.06,92.29,30.00,0,True,PASS
17:07:53.600,1,12.06,92.29,30.00,0,True,PASS
17:07:54.617,1,12.06,92.04,30.00,0,True,PASS
17:07:55.600,1,12.06,92.29,30.00,0,True,PASS
17:07:56.607,1,12.06,92.42,30.00,0,True,PASS
17:07:57.613,1,12.06,92.16,30.00,0,True,PASS
17:07:58.613,1,12.06,92.29,30.00,0,True,PASS
17:07:59.617,1,12.06,92.29,30.00,0,True,PASS
17:08:00.617,1,12.06,92.16,30.00,0,True,PASS
17:08:01.611,1,12.06,92.42,30.00,0,True,PASS
17:08:02.613,1,12.06,92.42,30.00,0,True,PASS
17:08:03.600,1,12.06,92.04,30.00,0,True,PASS
17:08:04.595,1,12.06,92.29,30.00,0,True,PASS
17:08:05.617,1,12.06,92.04,30.00,0,True,PASS
17:08:06.617,1,12.06,92.16,30.00,0,True,PASS
17:08:07.598,1,12.06,92.29,30.00,0,True,PASS
17:08:08.613,1,12.06,92.29,30.00,0,True,PASS
17:08:09.603,1,12.06,92.16,30.00,0,True,PASS
17:08:10.602,1,12.06,92.42,30.00,0,True,PASS
17:08:11.619,1,12.06,92.29,30.00,0,True,PASS
17:08:12.613,1,12.06,92.04,30.00,0,True,PASS
17:08:13.617,1,12.06,92.42,30.00,0,True,PASS
17:08:14.598,1,12.06,92.29,30.00,0,True,PASS
17:08:15.605,1,12.06,92.16,30.00,0,True,PASS
17:08:16.611,1,12.06,92.42,30.00,0,True,PASS
17:08:17.613,1,12.06,92.29,30.00,0,True,PASS
17:08:18.596,1,12.06,92.29,30.00,0,True,PASS
17:08:19.618,1,12.06,92.42,30.00,0,True,PASS
17:08:20.608,1,12.06,92.29,30.00,0,True,PASS
17:08:21.600,1,12.06,92.29,30.00,0,True,PASS
17:08:22.617,1,12.06,92.29,30.00,0,True,PASS
17:08:23.598,1,12.06,92.16,30.00,0,True,PASS
17:08:24.600,1,12.06,92.16,30.00,0,True,PASS
17:08:25.619,1,12.06,92.29,30.00,0,True,PASS
17:08:26.618,1,12.06,92.29,30.00,0,True,PASS
17:08:27.604,1,12.06,92.29,30.00,0,True,PASS
17:08:28.602,1,12.06,92.29,30.00,0,True,PASS
17:08:29.617,1,12.06,92.29,30.00,0,True,PASS
17:08:30.605,1,12.06,92.42,30.00,0,True,PASS
17:08:31.617,1,12.06,92.29,30.00,0,True,PASS
17:08:32.613,1,12.06,92.29,30.00,0,True,PASS
17:08:33.609,1,12.06,92.42,30.00,0,True,PASS
17:08:34.605,1,12.06,92.04,30.00,0,True,PASS
17:08:35.611,1,12.06,92.29,30.00,0,True,PASS
17:08:36.602,1,12.06,92.42,30.00,0,True,PASS
17:08:37.617,1,12.06,92.29,30.00,0,True,PASS
17:08:38.613,1,12.06,92.42,30.00,0,True,PASS
17:08:39.618,1,12.06,92.04,30.00,0,True,PASS
17:08:40.611,1,12.06,92.29,30.00,0,True,PASS
17:08:41.602,1,12.06,92.42,30.00,0,True,PASS
17:08:42.603,1,12.06,92.29,30.00,0,True,PASS
17:08:43.604,1,12.06,92.29,30.00,0,True,PASS
17:08:44.613,1,12.06,92.29,30.00,0,True,PASS
17:08:45.609,1,12.06,92.42,30.00,0,True,PASS
17:08:46.600,1,12.06,92.42,30.00,0,True,PASS
17:08:47.611,1,12.06,92.29,30.00,0,True,PASS
17:08:48.600,1,12.06,92.16,30.00,0,True,PASS
17:08:49.617,1,12.06,92.16,30.00,0,True,PASS
17:08:50.611,1,12.06,92.29,30.00,0,True,PASS
17:08:51.615,1,12.06,92.42,30.00,0,True,PASS
17:08:52.604,1,12.06,92.54,30.00,0,True,PASS
17:08:53.602,1,12.06,92.04,30.00,0,True,PASS
17:08:54.608,1,12.06,92.54,30.00,0,True,PASS
17:08:55.608,1,12.06,92.42,30.00,0,True,PASS
17:08:56.617,1,12.06,92.42,30.00,0,True,PASS
17:08:57.609,1,12.06,92.29,30.00,0,True,PASS
17:08:58.608,1,12.06,92.42,30.00,0,True,PASS
17:08:59.600,1,12.06,92.29,30.00,0,True,PASS
17:09:00.600,1,12.06,92.29,30.00,0,True,PASS
17:09:01.600,1,12.06,92.16,30.00,0,True,PASS
17:09:02.610,1,12.06,92.42,30.00,0,True,PASS
17:09:03.615,1,12.06,92.16,30.00,0,True,PASS
17:09:04.610,1,12.06,92.42,30.00,0,True,PASS
17:09:05.610,1,12.06,92.54,30.00,0,True,PASS
17:09:06.616,1,12.06,92.29,30.00,0,True,PASS
17:09:07.602,1,12.06,92.54,30.00,0,True,PASS
17:09:08.604,1,12.06,92.29,30.00,0,True,PASS
17:09:09.602,1,12.06,92.42,30.00,0,True,PASS
17:09:10.598,1,12.06,92.29,30.00,0,True,PASS
17:09:11.602,1,12.06,92.29,30.00,0,True,PASS
17:09:12.612,1,12.06,92.54,30.00,0,True,PASS
17:09:13.619,1,12.06,92.42,30.00,0,True,PASS
17:09:14.607,1,12.06,92.42,30.00,0,True,PASS
17:09:15.604,1,12.06,92.54,30.00,0,True,PASS
17:09:16.608,1,12.06,92.16,30.00,0,True,PASS
17:09:17.617,1,12.06,92.54,30.00,0,True,PASS
17:09:18.612,1,12.06,92.42,30.00,0,True,PASS
17:09:19.602,1,12.06,92.29,30.00,0,True,PASS
17:09:20.602,1,12.06,92.29,30.00,0,True,PASS
17:09:21.607,1,12.06,92.42,30.00,0,True,PASS
